Date,Timestamp,Open,High,Low,Close,Volume
20201214,09:00:00,103.965,104.044,103.89,104.027,6344.86003828049
20201214,10:00:00,104.027,104.061,103.95,104.006,5078.11001968384
20201214,11:00:00,104.005,104.017,103.954,103.978,2236.83001255989
20201214,12:00:00,103.979,104.005,103.956,103.986,2922.49001026154
20201214,13:00:00,103.986,104.053,103.986,104.051,2671.50001370907
20201214,14:00:00,104.051,104.057,104.018,104.03,2850.49000775814
20201214,15:00:00,104.028,104.033,103.972,103.981,2523.23000669479
20201214,16:00:00,103.981,103.992,103.914,103.92,4424.41000199318
20201214,17:00:00,103.921,103.958,103.836,103.865,7343.29000985622
20201214,18:00:00,103.865,103.893,103.749,103.753,6900.36003041267
20201214,19:00:00,103.753,103.766,103.695,103.722,5603.31001353264
20201214,20:00:00,103.723,103.811,103.715,103.757,3701.73001599312
20201214,21:00:00,103.756,103.762,103.612,103.714,6284.00001037121
20201214,22:00:00,103.712,103.755,103.547,103.561,8482.31003212929
20201214,23:00:00,103.559,103.749,103.512,103.706,8874.19000685215
20201215,00:00:00,103.705,104.102,103.699,104.085,13740.3799784184
20201215,01:00:00,104.085,104.091,104.018,104.07,4693.20999193192
20201215,02:00:00,104.07,104.087,104.008,104.009,2784.76000845432
20201215,03:00:00,104.01,104.093,104.01,104.08,1789.21000671387
20201215,04:00:00,104.081,104.089,104.047,104.065,1515.67000174522
20201215,05:00:00,104.064,104.067,104.03,104.03,1238.18000391871
20201215,06:00:00,104.032,104.047,103.991,104.033,1649.73000551015
20201215,07:00:00,104.047,104.072,103.985,104.015,525.729998923838
20201215,08:00:00,104.014,104.039,104.002,104.008,2341.63999950886
20201215,09:00:00,104.008,104.117,103.989,104.104,5173.21002745628
20201215,10:00:00,104.103,104.129,104.039,104.085,4072.70001482964
20201215,11:00:00,104.085,104.087,104.034,104.087,2664.41001844406
20201215,12:00:00,104.087,104.152,104.06,104.136,2278.70001518726
20201215,13:00:00,104.136,104.147,104.108,104.125,2344.04001271725
20201215,14:00:00,104.124,104.126,104.062,104.063,2005.73001194
20201215,15:00:00,104.063,104.118,104.035,104.051,1855.41001439095
20201215,16:00:00,104.05,104.08,104.032,104.067,4350.38001430035
20201215,17:00:00,104.066,104.133,104.039,104.091,5655.30001175404
20201215,18:00:00,104.093,104.117,104.025,104.042,4349.41000652313
20201215,19:00:00,104.042,104.064,103.973,103.976,4284.54000031948
20201215,20:00:00,103.978,103.993,103.911,103.933,5642.59002780914
20201215,21:00:00,103.933,103.952,103.879,103.925,5410.82001590729
20201215,22:00:00,103.925,103.941,103.763,103.77,7964.97002327442
20201215,23:00:00,103.769,103.875,103.731,103.783,7088.08001661301
20201216,00:00:00,103.784,103.803,103.699,103.736,6043.28000760078
20201216,01:00:00,103.734,103.759,103.678,103.696,3961.58001458645
20201216,02:00:00,103.695,103.734,103.676,103.734,1900.69001209736
20201216,03:00:00,103.733,103.78,103.686,103.745,2104.5400094986
20201216,04:00:00,103.745,103.752,103.687,103.691,1422.38000524044
20201216,05:00:00,103.689,103.696,103.626,103.63,1425.52000665665
20201216,06:00:00,103.63,103.677,103.607,103.675,1942.020013161
20201216,07:00:00,103.674,103.693,103.655,103.676,1637.33000400662
20201216,08:00:00,103.676,103.676,103.617,103.647,1648.24000966549
20201216,09:00:00,103.647,103.713,103.573,103.691,4297.44003021717
20201216,10:00:00,103.692,103.721,103.626,103.644,2499.8100155592
20201216,11:00:00,103.644,103.646,103.596,103.626,2602.88001775742
20201216,12:00:00,103.626,103.637,103.522,103.54,2480.09002256393
20201216,13:00:00,103.54,103.548,103.414,103.434,2852.01002132893
20201216,14:00:00,103.434,103.495,103.434,103.489,2396.91001558304
20201216,15:00:00,103.488,103.601,103.48,103.497,2348.37001740932
20201216,16:00:00,103.498,103.504,103.406,103.447,4665.02001607418
20201216,17:00:00,103.447,103.458,103.323,103.329,6821.79000997543
20201216,18:00:00,103.329,103.403,103.278,103.29,4752.48001253605
20201216,19:00:00,103.287,103.386,103.26,103.372,4059.73001873493
20201216,20:00:00,103.37,103.384,103.282,103.312,3248.51000213623
20201216,21:00:00,103.312,103.432,103.29,103.294,4006.2300080061
20201216,22:00:00,103.294,103.508,103.29,103.494,6237.40001666546
20201216,23:00:00,103.494,103.649,103.45,103.515,7737.30001783371
20201217,00:00:00,103.515,103.615,103.497,103.504,7447.71002078056
20201217,01:00:00,103.503,103.605,103.5,103.594,3627.25001704693
20201217,02:00:00,103.593,103.684,103.588,103.625,2684.80001783371
20201217,03:00:00,103.625,103.653,103.607,103.632,1648.51000523567
20201217,04:00:00,103.631,103.918,103.583,103.632,10948.160046339
